,current_2010_2yearflood_base_historical,current_2010_5yearflood_base_historical,current_2010_10yearflood_base_historical,current_2010_25yearflood_base_historical,current_2010_50yearflood_base_historical,current_2010_100yearflood_base_historical,current_2010_250yearflood_base_historical,current_2010_500yearflood_base_historical,current_2010_1000yearflood_base_historical,optimistic_2030_2yearflood_ssp2_rcp4p5,optimistic_2030_5yearflood_ssp2_rcp4p5,optimistic_2030_10yearflood_ssp2_rcp4p5,optimistic_2030_25yearflood_ssp2_rcp4p5,optimistic_2030_50yearflood_ssp2_rcp4p5,optimistic_2030_100yearflood_ssp2_rcp4p5,optimistic_2030_250yearflood_ssp2_rcp4p5,optimistic_2030_500yearflood_ssp2_rcp4p5,optimistic_2030_1000yearflood_ssp2_rcp4p5,business_as_usual_2030_2yearflood_ssp2_rcp8p5,business_as_usual_2030_5yearflood_ssp2_rcp8p5,business_as_usual_2030_10yearflood_ssp2_rcp8p5,business_as_usual_2030_25yearflood_ssp2_rcp8p5,business_as_usual_2030_50yearflood_ssp2_rcp8p5,business_as_usual_2030_100yearflood_ssp2_rcp8p5,business_as_usual_2030_250yearflood_ssp2_rcp8p5,business_as_usual_2030_500yearflood_ssp2_rcp8p5,business_as_usual_2030_1000yearflood_ssp2_rcp8p5,pessimistic_2030_2yearflood_ssp3_rcp8p5,pessimistic_2030_5yearflood_ssp3_rcp8p5,pessimistic_2030_10yearflood_ssp3_rcp8p5,pessimistic_2030_25yearflood_ssp3_rcp8p5,pessimistic_2030_50yearflood_ssp3_rcp8p5,pessimistic_2030_100yearflood_ssp3_rcp8p5,pessimistic_2030_250yearflood_ssp3_rcp8p5,pessimistic_2030_500yearflood_ssp3_rcp8p5,pessimistic_2030_1000yearflood_ssp3_rcp8p5,climate_change_2yearflood_only_base_rcp4p5,climate_change_5yearflood_only_base_rcp4p5,climate_change_10yearflood_only_base_rcp4p5,climate_change_25yearflood_only_base_rcp4p5,climate_change_50yearflood_only_base_rcp4p5,climate_change_100yearflood_only_base_rcp4p5,climate_change_250yearflood_only_base_rcp4p5,climate_change_500yearflood_only_base_rcp4p5,climate_change_1000yearflood_only_base_rcp4p5,climate_change_only_2yearflood_base_rcp8p5,climate_change_only_5yearflood_base_rcp8p5,climate_change_only_10yearflood_base_rcp8p5,climate_change_only_25yearflood_base_rcp8p5,climate_change_only_50yearflood_base_rcp8p5,climate_change_only_100yearflood_base_rcp8p5,climate_change_only_250yearflood_base_rcp8p5,climate_change_only_500yearflood_base_rcp8p5,climate_change_only_1000yearflood_base_rcp8p5,socio_econ_change_only_2yearflood_ssp2_historical,socio_econ_change_only_5yearflood_ssp2_historical,socio_econ_change_only_10yearflood_ssp2_historical,socio_econ_change_only_25yearflood_ssp2_historical,socio_econ_change_only_50yearflood_ssp2_historical,socio_econ_change_only_100yearflood_ssp2_historical,socio_econ_change_only_250yearflood_ssp2_historical,socio_econ_change_only_500yearflood_ssp2_historical,socio_econ_change_only_1000yearflood_ssp2_historical,socio_econ_change_only_2yearflood_ssp3_historical,socio_econ_change_only_5yearflood_ssp3_historical,socio_econ_change_only_10yearflood_ssp3_historical,socio_econ_change_only_25yearflood_ssp3_historical,socio_econ_change_only_50yearflood_ssp3_historical,socio_econ_change_only_100yearflood_ssp3_historical,socio_econ_change_only_250yearflood_ssp3_historical,socio_econ_change_only_500yearflood_ssp3_historical,socio_econ_change_only_1000yearflood_ssp3_historical,spatial_unit_name
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABW-5150
1,0.0,1388392.125,2514438.5,3804133.25,4666281.0,5092094.5,6006064.5,6612197.0,6984117.5,58392.93125,3125403.2375,6092168.322060671,9973825.730241895,12626142.038173106,14449794.573567951,17612570.966009423,19758462.40473247,21774755.40473247,0.0,1879397.8625,5080090.6,8477785.5,10759917.15,12200280.3,14312097.6,16230770.0,17593292.5,0.0,1955804.9125,5284201.2,8830314.8,11242809.55,12778052.5,15011999.6,17059204.4,18507500.9,22710.621875,1004573.0375,1952739.6,3469393.8983481466,4493658.165404064,4967106.715404063,5788000.770450159,6359171.770450159,6801883.87045016,0.0,516083.65792785503,1536940.4256061693,2849938.9701462286,3742896.769992277,4049126.768675521,4605080.495409882,4981152.392917128,5116049.292917128,0.0,4330221.2375,7575949.55,10859819.7,13067624.55,14803761.5,17784497.6,20049063.2,22286926.1,0.0,4483826.7875,7885503.05,11348528.3,13681800.75,15531748.9,18681633.0,21062118.6,23449927.3,AFG-1741
2,0.0,153494.0,561150.5,958132.8125,1340302.5,1729078.25,2045719.25,2274473.5,2500821.25,0.0,570879.175,1441524.725,2786658.9375,3695977.15,4691417.125,5667237.8,6110355.75,6760217.0,0.0,229814.7375,917079.075,2310813.3625,3422909.75,4293642.675,5339163.4,6004286.75,6606089.0,0.0,242730.975,925649.425,2362481.5375,3506864.9,4399049.475,5481357.55,6165756.95,6788735.0,0.0,171492.8625,436796.575,736822.1875,1072240.15,1485898.15,1844555.85,1980575.4,2237049.1,0.0,92096.4,208221.025,552383.525,966472.5625,1334667.425,1720328.775,1942659.75,2183319.325,0.0,556906.3625,1908908.8875,3310632.9875,4341207.15,5257966.625,6131790.8,6802580.15,7380957.0,0.0,573269.1375,1953010.7625,3426586.4875,4486061.05,5430261.825,6330881.4,7027883.35,7618272.6,AFG-1742
3,0.0,244345.953125,608370.5625,871918.0,1130527.125,1267215.25,1514415.875,1587734.5,1744137.75,0.0,474854.11796875,1196895.853125,2033521.95,2866823.65,3319350.6,3999822.7125,4341261.15,4826028.275,0.0,94963.2759765625,605552.9078125,1414209.75,2130913.875,2679837.775,3301873.7125,3713171.1,4139413.725,0.0,94232.09921875,555713.3734375,1289730.9875,1952776.775,2448585.125,3034784.2125,3409099.0,3812404.325,0.0,176181.16875,446092.79375,671576.65625,988941.5625,1123454.2125,1372677.9,1453498.9,1641371.325,0.0,90486.66162109375,268098.746484375,486842.36875,766243.975,926470.575,1163606.575,1259250.9875,1434471.5625,0.0,702856.02265625,1719565.178125,2645106.05,3259666.45,3735449.55,4419306.2625,4750724.25,5117181.625,0.0,631168.44296875,1563204.653125,2417431.7,3004680.625,3432433.65,4060493.3625,4365868.65,4714219.975,AFG-1743
4,0.0,4275065.5,7789953.0,11654053.0,17333710.0,24091778.0,29863906.0,34514304.0,38250372.0,1927924.775,18318994.2,30898058.4,49696743.9,65772427.0,87214962.2,112912058.4,131857976.4,149943668.0,544330.6,14210372.0,26091484.4,38816197.5,56037430.2,78139725.4,106228680.8,123848323.6,137554695.2,457208.5,11965366.6,22190936.6,32831126.3,47824324.6,66771523.8,90564540.0,105632514.0,117189652.0,497756.2625,4892731.2,8887876.7,13173040.5,18795493.8,25943580.8,32844737.0,38335535.6,42719483.6,140536.3375,3803722.8096112153,7603291.103025774,10287764.103025774,16276351.514207935,23524467.878592126,31071211.822277345,36195847.820410796,39490467.914798304,0.0,15923021.2,26616098.6,43670953.9,59921154.6,80013683.0,101180178.4,116991358.8,132547516.0,0.0,13449190.4,22705178.6,37082746.3,51172979.4,68477814.2,86477248.0,100016142.0,113073198.4,AFG-1744
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3517949.5,0.0,0.0,0.0,0.0,2203961.855083991,2203961.855083991,2203961.855083991,2203961.855083991,7711298.671385102,0.0,0.0,0.0,0.0,0.0,0.0,1858686.1,1858686.1,4673045.7,0.0,0.0,0.0,0.0,0.0,0.0,1741236.1,1741236.1,4555595.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10558542.228485657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2814359.6,0.0,0.0,0.0,0.0,0.0,1858686.1,1858686.1,3717372.2,7235321.7,0.0,0.0,0.0,0.0,0.0,1741236.1,1741236.1,3482472.2,7000421.7,AFG-1745
6,0.0,411450.40625,3496610.75,4889839.5,7391188.5,8670073.0,11122852.0,12540998.0,12773797.0,0.0,2370129.840625,9358193.31647682,17821618.499460332,22313613.332363293,28295014.47565192,35143584.705799654,38726743.37893931,43236168.39757769,0.0,326280.8774135468,7732557.822935531,11746943.496852074,18356587.86022714,25393000.38662943,29488489.355120234,34580372.414750725,38138084.524560235,0.0,351977.5148682093,7592659.567154932,11402136.80310318,17872455.15841434,24714089.081657194,28719269.46422417,33692288.04262681,36987826.63037135,0.0,437391.9376115937,2808867.953014446,4577446.089743343,6673373.736336956,7920480.799250412,9732732.222861568,10306304.976111645,11342706.689873552,0.0,163678.15984261403,2166180.6004369585,2659016.7498298506,5306836.957547355,7061540.819083643,7960149.994728865,9206928.902810508,9886806.916955145,0.0,3586577.878125,11044532.45,18078941.75,24190255.1,30408833.7,38337550.7,44473860.6,47314628.4,0.0,3487366.028125,10965123.45,17832980.35,23727001.3,29926779.3,37709100.3,43637144.6,46613622.8,AFG-1746
7,0.0,0.0,0.0,38207.203125,38207.203125,38207.203125,96173.03125,302402.09375,302402.09375,0.0,24260.94375,35352.59762286799,124437.8634611275,194469.7134611275,306569.5073410436,380095.4354660436,888757.5544922557,1094172.5669922556,0.0,0.0,0.0,37936.46131270103,37936.46131270103,224849.05116332392,310063.84865052055,633612.1703825512,1010998.3226610695,0.0,0.0,0.0,48093.84332188306,51104.61360090629,263288.1390866173,363032.5207616278,655828.4143360408,1004306.0393629577,0.0,5805.730561539653,6586.392096403921,7661.088992714795,13701.869260400515,13701.869260400515,27148.621723657987,331501.99685913493,377397.5630786312,63.27660133131658,63.27660133131658,63.27660133131658,63.27660133131658,63.27660133131658,19715.182498615028,19715.182498615028,366303.17528477433,378281.7913994839,0.0,12124.565234375,58763.5654296875,220064.8375,473446.2625,503344.259375,873147.21875,1159930.2125,1300342.44375,0.0,13978.909765625,67750.9330078125,247878.278125,540012.115625,574482.653125,991978.25625,1291081.0875,1452968.16875,AFG-1747
8,0.0,81591.0546875,336733.0,651602.25,651602.25,953055.75,1174370.375,1444284.0,1564670.125,0.0,428539.84098160855,948129.793159623,2475284.8590006847,2830539.6090006847,3676507.082739466,4646310.060244277,5586741.125118243,6274418.897031755,0.0,158538.0640625,721659.4375,1947243.275,2382884.575,3432514.3,4605772.0875,5127027.8,5698899.15,0.0,123258.0453125,592541.0875,1626711.65,1973961.675,2874773.275,3866405.7375,4332346.6,4833640.65,0.0,85587.36287629414,244993.31473882706,561733.8951127251,624707.7451127251,928714.0451182136,1165270.77661677,1517432.9584487532,1696337.7874744595,0.0,48193.05448083915,176690.26675330824,472113.140288097,481104.265288097,805458.7823492365,1086989.6973679948,1309430.4741551697,1448809.572347261,0.0,428959.425,1337268.5625,2557448.45,2999715.825,3969128.15,4910146.2875,5585857.3,6150062.05,0.0,346896.51875,1108505.2375,2148525.825,2509753.95,3344895.475,4146082.8875,4754332.0,5224437.85,AFG-1748
9,0.0,406178.5625,1018001.9375,1715516.75,1960554.75,2244383.75,2804535.0,3080561.5,3389600.5,0.0,1711028.16875,4155063.1375,7457731.75,8935862.75,10648683.45,13063751.9,14145884.0,16037175.1,0.0,1120039.29375,3279449.7375,6397414.25,7966777.75,9476614.15,11502253.7,13316858.4,14678003.5,0.0,854097.5125,2574888.2375,5121329.45,6357741.95,7569084.55,9211623.9,10660109.1,11724948.7,0.0,154216.89977852206,594870.4489208555,1388748.0619406246,1575294.7650117122,1906418.8020090214,2420577.1373789785,2570368.432649239,2843034.4187888857,0.0,163121.73988723062,414733.79026442434,1127746.3072000553,1315717.6742996569,1613498.512837648,2062041.055870756,2319695.6229376583,2505479.4118826925,0.0,2876161.5125,5846921.4375,8718748.45,10485477.55,12018329.25,14502776.9,16207274.2,18246618.5,0.0,2277626.1125,4676759.8375,7021699.55,8419685.55,9649869.85,11668014.5,13026359.4,14646409.3,AFG-1749
10,0.0,7698908.5,11290704.0,14642021.0,18038324.0,21389972.0,26802574.0,30648936.0,35218516.0,746782.6625,17251697.5,28035977.4,39311000.6,49437486.0,60536182.4,76353084.0,85471664.4,96452972.8,1583869.3,20689242.7,32292085.0,46423193.0,58385482.0,72431244.0,90379577.6,102558931.6,115330150.4,1724121.5,22696320.3,35371923.4,51006987.0,64147351.6,79608806.4,99340919.2,112823072.4,126803590.4,314428.73125,6119226.6,10363585.0,13459019.6,16945900.4,20494786.0,25883014.0,28255772.8,32366826.4,666878.8125,7566581.65,12155591.8,16453560.8,20713395.6,25503123.6,31788774.0,35450258.4,40314940.4,0.0,21003512.9,30237928.6,42120685.0,52032040.4,62662303.2,78537068.8,91155512.4,103225852.8,0.0,23038430.1,33135871.0,46323502.6,57231326.8,68974824.8,86449773.6,100409910.8,113627476.8,AFG-1750
